ID,B_fighter,Referee,date,location,Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_BODY_att,B_avg_BODY_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_att,B_avg_LEG_landed,B_avg_PASS,B_avg_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_opp_KD,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_opp_PASS,B_avg_opp_REV,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_opp_SIG_STR_pct,B_avg_opp_SUB_ATT,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_opp_TD_pct,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_age
1465,Henrique da Silva,Mike Beltran,6/4/2016,"Los Angeles, California, USA",1,FALSE,Light Heavyweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,190.5,193.04,205,26
1466,Elvis Mutapcic,Jason Herzog,6/4/2016,"Los Angeles, California, USA",0,FALSE,Middleweight,3,1,0,0,16,14,11,6,99,25,10,7,100,22,0,4,2,0,0,120,38,0.31,0,0,0,0,148,65,0,1,8,7,6,5,83,49,6,3,69,34,0,18,16,0,0,95,57,0.6,0,10,1,0.1,132,90,3,900,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,185,29
1467,Dong Hyun Ma,Mike Beltran,6/4/2016,"Los Angeles, California, USA",-1,FALSE,Lightweight,3,1,0,0,15,10,18,9,24,10,0,0,26,8,0,1,1,0,0,42,19,0.45,0,3,0,0,79,52,0,1,3,1,14,9,17,6,30,21,58,35,1,0,0,1,0,61,36,0.59,0,4,4,1,114,84,3,627,0,0,0,0,0,0,0,0,Orthodox,180.34,177.8,155,27
1468,Cody Garbrandt,John McCarthy,5/29/2016,"Las Vegas, Nevada, USA",1,FALSE,Bantamweight,5,0,3,0,5,3.333333333,2,1,102,36.66666667,7,3.666666667,102,35.66666667,1.333333333,4,2.333333333,1,0,111,41.33333333,0.34,0,3,1.333333333,0.276666667,112.6666667,43,3,0,15.33333333,7.333333333,3.333333333,1.333333333,88.33333333,28.33333333,0.333333333,0,67.66666667,17,0,9,5.333333333,0,0,92,29.66666667,0.31,0,0,0,0,94.66666667,32.33333333,7,682.6666667,0,0,0,1,2,0,0,3,Orthodox,172.72,165.1,135,24
1469,Jeremy Stephens,Herb Dean,5/29/2016,"Las Vegas, Nevada, USA",1,FALSE,Featherweight,3,1,0,0,8.909090909,6.545454545,5.318181818,4,59.95454545,22.59090909,12.13636364,7.636363636,57.86363636,20.13636364,0.454545455,10.63636364,7.545454545,0.363636364,0.318181818,77.40909091,34.22727273,0.469090909,0.409090909,3.272727273,1.227272727,0.321363636,95.31818182,51.04545455,3,11,9.272727273,6.5,5.545454545,3.909090909,70.36363636,24.54545455,4.954545455,3.136363636,63.09090909,18.18181818,0.090909091,8.5,6.909090909,2.409090909,0.227272727,80.86363636,31.59090909,0.377272727,1.181818182,3.227272727,1.181818182,0.257727273,107.1363636,55.22727273,59,741.5,0,0,1,4,5,0,1,11,Orthodox,172.72,180.34,145,30
1470,Rick Story,John McCarthy,5/29/2016,"Las Vegas, Nevada, USA",1,FALSE,Welterweight,3,0,2,0,22.88235294,16.52941176,15.52941176,9.823529412,87.94117647,29.94117647,13.94117647,8.823529412,87.64705882,25.88235294,0.352941176,6.882352941,6.176470588,1.647058824,0.294117647,117.4117647,48.58823529,0.421764706,0.823529412,4.235294118,2.294117647,0.601176471,144.4117647,74.23529412,6,6,8.411764706,5.117647059,8.352941176,4.823529412,62.23529412,19.70588235,1.764705882,1.235294118,59.88235294,17.52941176,0,4.058823529,3.117647059,1.117647059,0.235294118,72.35294118,25.76470588,0.385294118,0.764705882,4.352941176,1.588235294,0.264117647,90.35294118,42.70588235,46,759.4705882,0,0,3,4,2,2,0,11,Southpaw,175.26,180.34,170,31
1471,Vitor Miranda,Herb Dean,5/29/2016,"Las Vegas, Nevada, USA",-1,FALSE,Middleweight,3,0,3,0,7.5,3.75,7.5,7,29.75,13.75,16.25,13.75,37.75,25,0,8.25,5.75,0.5,0,53.5,34.5,0.625,0,0.5,0.25,0.25,90.75,69.5,3,1,5,3.5,4,2.5,35.75,12.5,6,3,35.75,10,0,5,4.5,2.5,0,45.75,18,0.4125,0.5,4.75,2.25,0.4725,55.25,26.5,8,506.5,1,0,0,0,3,0,0,3,Orthodox,185.42,195.58,185,37
1472,Lorenz Larkin,Jason Herzog,5/29/2016,"Las Vegas, Nevada, USA",1,FALSE,Welterweight,3,1,0,0,10,6,12.125,7.625,72.875,28.875,3.25,2.875,60.375,18.875,0.25,17.875,14.5,0.25,0.25,88.25,39.375,0.46375,0,0.25,0,0,94.5,45.125,2,5,12.625,6.75,4.875,2.875,84,29.625,0.875,0.875,64.25,17.125,0.125,12.875,9.5,1.25,0,89.75,33.375,0.3875,0.125,4.625,1,0.09125,109.375,50.875,19,668.875,0,0,0,1,2,0,0,3,Orthodox,180.34,182.88,170,29
1473,Paul Felder,Chris Tognoni,5/29/2016,"Las Vegas, Nevada, USA",1,FALSE,Lightweight,3,0,1,0,11.8,8.2,15,9.8,84.2,27.4,14,10.2,89.2,28.6,0.2,12.2,10.6,0.4,0,113.2,47.4,0.434,0.6,1.2,0.6,0.3,125.8,59.2,2,2,17.4,13.2,6.2,3.8,71.4,35.4,4.6,2.4,53.2,19,0.2,11.6,9.4,1.4,0.2,82.2,41.6,0.506,0,5.6,2,0.348,97.2,54,14,793,0,0,1,0,1,1,0,3,Orthodox,180.34,177.8,155,32
1474,Jessica Eye,John McCarthy,5/29/2016,"Las Vegas, Nevada, USA",-1,FALSE,Women's Bantamweight,3,2,0,0,9.6,6.6,18.2,10.8,121.4,44,0.8,0.8,117,37.6,0,13.8,11.4,0.6,0,140.4,55.6,0.42,0.2,0.2,0.2,0.2,166.6,80.8,1,4,13,9.8,17.4,12.2,96.4,32,9.2,7.8,95,31.8,0.2,15,10.4,2.2,0,123,52,0.422,1,2.6,1.2,0.282,164,91.2,14,798,0,0,0,0,0,0,1,1,Orthodox,167.64,167.64,125,29
1475,Jordan Rinaldi,Herb Dean,5/29/2016,"Las Vegas, Nevada, USA",-1,FALSE,Lightweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,145,28
1476,Alberto Uda,Jason Herzog,5/29/2016,"Las Vegas, Nevada, USA",-1,FALSE,Middleweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,190.5,195.58,185,31
1477,Shane Campbell,Chris Tognoni,5/29/2016,"Las Vegas, Nevada, USA",-1,FALSE,Lightweight,3,1,0,0,18.66666667,13.33333333,6.666666667,4.333333333,67.33333333,37,11,9,48.66666667,21.33333333,0,17.66666667,15.66666667,1,0.333333333,85,50.33333333,0.563333333,0,3.666666667,1.333333333,0.353333333,105.3333333,68,1,2,12.33333333,8.333333333,6.333333333,3.666666667,65.66666667,29,11,6,67.33333333,27.66666667,0.666666667,3.333333333,2.666666667,2,0,83,38.66666667,0.48,0.666666667,10,1.333333333,0.093333333,107.3333333,54.66666667,7,697.6666667,0,0,0,1,0,0,0,1,Orthodox,182.88,180.34,155,29
1478,Bryan Caraway,Jason Herzog,5/29/2016,"Las Vegas, Nevada, USA",1,FALSE,Bantamweight,3,0,1,0,5.857142857,3.714285714,7.428571429,3.571428571,83.71428571,27.14285714,1.428571429,0.857142857,82.28571429,24.57142857,0,4.428571429,3.285714286,3.285714286,0.142857143,92.57142857,31.57142857,0.327142857,0.857142857,7.857142857,2.142857143,0.38,132.7142857,63.28571429,2,2,11.71428571,9,12.14285714,6.428571429,88.71428571,34.85714286,2.428571429,1.428571429,84.57142857,27,0,7,6.714285714,0,0.428571429,103.2857143,42.71428571,0.392857143,0.142857143,2.428571429,0.571428571,0.147142857,121.5714286,59.71428571,19,744.7142857,0,0,0,1,0,4,0,5,Orthodox,172.72,172.72,135,31
1479,Adam Milstead,Chris Tognoni,5/29/2016,"Las Vegas, Nevada, USA",1,FALSE,Heavyweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,190.5,193.04,205,28
1480,Stipe Miocic,Dan Miragliotta,5/14/2016,"Curitiba, Parana, Brazil",1,TRUE,Heavyweight,5,0,2,0,5.9,5.3,9.9,6.4,85.6,37.1,14.4,11.1,97.5,43.3,0.3,6.5,6,1.6,0,109.9,54.6,0.514,0,4.7,1.6,0.382,151.4,91,3,2,15.3,7.6,4.3,2.5,91.4,32.8,1.8,1.2,76.2,24.3,0.1,6,4.6,0,0,97.5,36.5,0.391,0,1,0.3,0.166,104.6,43,26,672.3,0,0,0,3,5,0,0,8,Orthodox,193.04,203.2,240,33
1481,Vitor Belfort,Osiris Maia,5/14/2016,"Curitiba, Parana, Brazil",-1,FALSE,Middleweight,3,0,1,0,1.285714286,0.904761905,4.476190476,2.571428571,11.28571429,4,6.047619048,4.19047619,19.38095238,8.857142857,0.523809524,1.142857143,1,0.476190476,0.047619048,21.80952381,10.76190476,0.512380952,0.380952381,0.380952381,0.285714286,0.130952381,26.28571429,14.80952381,3,7,2,1.142857143,4.428571429,3.19047619,13.23809524,4.238095238,10.04761905,7.380952381,21,9.904761905,0.142857143,4.714285714,3.761904762,0.523809524,0.047619048,27.71428571,14.80952381,0.47047619,0.095238095,1.476190476,0.523809524,0.171904762,40.95238095,27.14285714,31,306.1428571,6,0,0,0,11,2,1,14,Southpaw,182.88,187.96,185,39
1482,Leslie Smith,Eduardo Herdy,5/14/2016,"Curitiba, Parana, Brazil",-1,FALSE,Catch Weight,3,0,1,0,11,7.25,17.75,12.25,127.5,39,0,0,126,35.75,0.25,8.25,8.25,0,0,145.25,51.25,0.3875,0,1.25,0,0,154.25,59.25,1,2,21.25,16,31.5,24.75,137.75,56,1.5,1.5,130.25,48.25,0,19.25,18,1.5,0,170.75,82.25,0.435,0.25,3.5,1,0.3075,188,97.5,9,583.5,0,0,0,1,1,0,0,2,Orthodox,175.26,167.64,135,33
1483,Corey Anderson,Mario Yamasaki,5/14/2016,"Curitiba, Parana, Brazil",-1,FALSE,Light Heavyweight,3,0,3,0,14.33333333,9.666666667,16.66666667,9.833333333,106.1666667,39.5,17.5,13.83333333,121.1666667,49.16666667,0,4.833333333,4.333333333,2.5,0,140.3333333,63.16666667,0.48,0,7,3.333333333,0.53,178.5,94.66666667,3,1,7.666666667,5,9,5.833333333,64.66666667,23.5,0.166666667,0.166666667,58.33333333,17.83333333,0,7.833333333,6.666666667,0.166666667,0,73.83333333,29.5,0.376666667,0.333333333,0.5,0.333333333,0.333333333,81.83333333,36.33333333,16,753.1666667,1,0,0,4,1,0,0,5,Orthodox,190.5,200.66,205,26
1484,Bryan Barberena,Leon Roberts,5/14/2016,"Curitiba, Parana, Brazil",1,FALSE,Welterweight,3,0,1,0,14.66666667,9.666666667,18.33333333,11.33333333,89.66666667,37,16,12.66666667,89.33333333,36.33333333,0.333333333,20,15,0.333333333,0,124,61,0.503333333,0.333333333,1.333333333,0.666666667,0.443333333,157.6666667,90.66666667,1,1,14.66666667,11.33333333,12.33333333,7,78.66666667,34,1.333333333,1,72,25.33333333,0,5.666666667,5.333333333,0.333333333,0,92.33333333,42,0.426666667,0,3.666666667,1.333333333,0.266666667,99.66666667,48.66666667,8,730,0,0,0,0,1,1,0,2,Southpaw,182.88,182.88,170,27
1485,Matt Brown,Mario Yamasaki,5/14/2016,"Curitiba, Parana, Brazil",-1,FALSE,Welterweight,3,0,1,0,12.65,10.25,12.8,10.4,44.65,19,9.25,6.8,48.9,22.3,0.35,5.15,3.65,0.75,0.15,66.7,36.2,0.573,1.15,2.35,1.15,0.4355,87.2,54.5,7,7,5.8,4.15,5.75,3.4,43.4,16.05,5.8,3.8,45.45,16.15,0.1,3.7,2.95,1.35,0.25,54.95,23.25,0.391,0.65,4.7,1.85,0.273,71.3,37.2,46,565.75,0,0,0,2,9,2,0,13,Orthodox,182.88,190.5,170,35
1486,Nate Marquardt,Kevin MacDonald,5/14/2016,"Curitiba, Parana, Brazil",-1,FALSE,Middleweight,3,0,1,0,5.65,4.2,6.2,4.45,31.4,13.55,9.45,6.15,35.65,15.3,0.5,5.75,4.65,1.1,0.15,47.05,24.15,0.519,0.7,2.4,1.45,0.4475,57.25,33.4,4,8,3.8,2.45,3.7,2,34.75,11.9,4.8,3.3,35.25,11.65,0.25,4.2,3.1,0.85,0.05,43.25,17.2,0.369,0.35,2.7,0.75,0.226,68.25,40,42,542.6,1,0,0,4,5,3,0,12,Orthodox,182.88,187.96,185,37
1487,Yancy Medeiros,Dan Miragliotta,5/14/2016,"Curitiba, Parana, Brazil",-1,FALSE,Lightweight,3,0,1,0,11.85714286,6.857142857,2,1.714285714,70.28571429,22.85714286,1.285714286,0.857142857,56.57142857,14.42857143,0.428571429,5.142857143,4.142857143,0,0,73.57142857,25.42857143,0.364285714,0.428571429,0.142857143,0,0,74.57142857,26.42857143,2,4,13.85714286,9,5,3.285714286,51.85714286,25.28571429,0.428571429,0.428571429,35.14285714,13,0.285714286,8.285714286,7,0.142857143,0,57.28571429,29,0.425714286,0.285714286,1.428571429,0.285714286,0.142857143,59.28571429,30.85714286,10,323.7142857,0,0,1,0,0,2,0,3,Orthodox,177.8,190.5,155,28
1488,Rob Font,Kevin MacDonald,5/14/2016,"Curitiba, Parana, Brazil",-1,FALSE,Bantamweight,3,0,2,0,11,9.5,9,7.5,56,24,1.5,0.5,49.5,18,1,6,4.5,0,0,66.5,32,0.495,0,2.5,0.5,0.1,69,34,2,0,4.5,2,5.5,3.5,48.5,9,0,0,46,7.5,0,3.5,3,0,0,54,12.5,0.24,0,0.5,0.5,0.5,56,14.5,3,346,0,0,0,0,2,0,0,2,Orthodox,172.72,180.34,135,28
1489,Patrick Cummins,Leon Roberts,5/14/2016,"Curitiba, Parana, Brazil",-1,FALSE,Light Heavyweight,3,1,0,0,4.142857143,3.571428571,7.285714286,5.285714286,34,11.28571429,30.85714286,22.14285714,64.71428571,32.28571429,0,3.285714286,2.857142857,2.714285714,0,72.14285714,38.71428571,0.52,0.142857143,8,4.285714286,0.462857143,102.4285714,64.14285714,3,3,3.142857143,2.571428571,3.571428571,2.571428571,43.57142857,15.28571429,4.428571429,3.571428571,45.57142857,16.85714286,0.285714286,2.857142857,2,0.142857143,0,51.57142857,21.42857143,0.39,0.142857143,0.714285714,0.142857143,0.071428571,53.42857143,23,15,519.7142857,0,0,0,2,2,0,0,4,Orthodox,187.96,193.04,205,35
1490,Luan Chagas,Osiris Maia,5/14/2016,"Curitiba, Parana, Brazil",0,FALSE,Welterweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,170,22
1491,Zubaira Tukhugov,Eduardo Herdy,5/14/2016,"Curitiba, Parana, Brazil",-1,FALSE,Featherweight,3,0,3,0,10.33333333,5.666666667,9,5,66.66666667,24,6,3,69.33333333,24.66666667,0,2,1.666666667,0,0,81.66666667,32,0.4,0,2.333333333,1.333333333,0.5,86,35.66666667,3,0,12.66666667,5.666666667,3.666666667,1.333333333,64.33333333,18.33333333,0,0,48,9.333333333,0,7.333333333,4.666666667,0,0,68,19.66666667,0.306666667,0,1.666666667,0,0,68.33333333,19.66666667,7,687,0,0,1,1,1,0,0,3,Orthodox,172.72,172.72,145,25
1492,Andrei Arlovski,Marc Goddard,5/8/2016,"Rotterdam, Zuid-Holland, Netherlands",-1,FALSE,Heavyweight,5,1,0,0,3.421052632,2.105263158,7.157894737,4.473684211,46.47368421,15.68421053,2.315789474,1.578947368,43.36842105,13.26315789,0.526315789,9.157894737,6.368421053,0.157894737,0,55.94736842,21.73684211,0.454736842,0.263157895,0.263157895,0.105263158,0.105263158,65.31578947,29.89473684,7,5,2.421052632,1.894736842,3.368421053,1.947368421,34.84210526,10.94736842,4.473684211,2.789473684,36.57894737,10.78947368,0.210526316,3.684210526,3,0.368421053,0.052631579,42.68421053,15.68421053,0.331052632,0.157894737,2.526315789,0.315789474,0.041578947,51.21052632,23,35,418.7368421,5,0,1,2,9,2,0,14,Orthodox,190.5,195.58,240,37
1493,Stefan Struve,Leon Roberts,5/8/2016,"Rotterdam, Zuid-Holland, Netherlands",1,FALSE,Heavyweight,3,1,0,0,6.375,5.125,2.6875,1.4375,41.6875,20.0625,4.4375,2.9375,36.125,13.625,0.125,6.3125,5.6875,0.75,0.3125,48.8125,24.4375,0.445625,1.1875,0.3125,0.25,0.25,61.875,35,4,6,6.6875,5.4375,3.8125,2.375,34.375,17.3125,11.8125,6,38.375,16.125,0.375,4.9375,4.125,1,0.125,50,25.6875,0.518125,0.25,2,0.75,0.373125,59.375,33.625,29,430.5,0,1,0,1,4,4,0,10,Orthodox,210.82,213.36,265,28
1494,Gunnar Nelson,Marc Goddard,5/8/2016,"Rotterdam, Zuid-Holland, Netherlands",1,FALSE,Welterweight,3,1,0,0,4,2.857142857,2.428571429,1.714285714,26.14285714,12.71428571,7.571428571,5.714285714,30.28571429,15.71428571,0.142857143,1.857142857,1.571428571,2.285714286,0.285714286,36.14285714,20.14285714,0.642857143,0.714285714,1.714285714,1,0.678571429,44.42857143,27.42857143,4,2,17.14285714,13.28571429,12.28571429,9.142857143,65.14285714,25.57142857,9,6.857142857,61.85714286,22,0.142857143,7.428571429,6.285714286,0.714285714,0.142857143,86.42857143,41.57142857,0.444285714,0.142857143,1.428571429,0.428571429,0.178571429,119.7142857,70.57142857,16,650.2857143,0,0,0,1,0,4,0,5,Switch,180.34,182.88,170,27
1495,Anna Elmose,Rich Mitchell,5/8/2016,"Rotterdam, Zuid-Holland, Netherlands",-1,FALSE,Women's Bantamweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,160.02,165.1,115,31
1496,Francimar Barroso,Lukasz Bosacki,5/8/2016,"Rotterdam, Zuid-Holland, Netherlands",-1,FALSE,Light Heavyweight,3,0,2,0,10.5,8.25,18,14.5,57.75,25.25,4.5,2.75,49.25,16.25,0,20.5,18,0.25,0,80.25,42.5,0.5225,0,9.25,1.5,0.2175,116.5,75.5,2,1,11,8.5,12.25,9.5,62.5,19.5,7.5,5,62.25,17.5,0,9,8,0.25,0,82.25,34,0.4275,0,2.25,0.25,0.03,110.25,59.75,12,900,0,0,0,3,0,0,0,3,Orthodox,185.42,190.5,205,36
1497,Heather Jo Clark,Marc Goddard,5/8/2016,"Rotterdam, Zuid-Holland, Netherlands",-1,FALSE,Women's Strawweight,3,0,1,0,23,15,27,21,64,29,8,6,66,33,0,10,8,4,0,99,56,0.56,1,5,1,0.2,136,85,1,0,10,6,35,25,82,43,1,1,89,45,0,19,18,0,0,118,69,0.58,0,2,0,0,147,90,3,900,0,0,0,1,0,0,0,1,,167.64,162.56,115,35
1498,Chris Wade,Leon Roberts,5/8/2016,"Rotterdam, Zuid-Holland, Netherlands",-1,FALSE,Lightweight,3,0,4,0,5.75,4,10,8,18.25,9.25,5.75,3.75,19.5,9.25,0,8.75,7.75,2.25,0.5,34,21,0.415,0.5,4.75,2.75,0.7525,76.75,58.25,4,0,6,4.25,10.25,7,23.75,6.75,0.5,0.5,24.25,6.25,0,4.25,3.75,0.25,0.25,34.5,14.25,0.2825,0,2.75,0,0,43.5,22.5,8,535.5,0,0,0,2,0,2,0,4,Orthodox,177.8,177.8,155,28
1499,Garreth McLellan,Lukasz Bosacki,5/8/2016,"Rotterdam, Zuid-Holland, Netherlands",-1,FALSE,Middleweight,3,0,1,0,6,6,5.5,5.5,12,2.5,59.5,47,66,44.5,0,5,4.5,1.5,0,77,55,0.665,1.5,4.5,1,0.2,132.5,107,1,1,12,11.5,20,19,7.5,3.5,6,2,15.5,7.5,0,6,5.5,6,0,33.5,24.5,0.67,0,8.5,6.5,0.7,86.5,73.5,6,899,0,0,0,0,1,0,0,1,Southpaw,185.42,182.88,185,33
1500,Josh Emmett,Rich Mitchell,5/8/2016,"Rotterdam, Zuid-Holland, Netherlands",1,FALSE,Lightweight,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,Orthodox,167.64,177.8,145,31
1501,Reza Madadi,Leon Roberts,5/8/2016,"Rotterdam, Zuid-Holland, Netherlands",1,FALSE,Lightweight,3,1,0,0,4,2.5,8.75,5.75,55.25,22.5,9.25,8,67.75,32.5,0,1.5,1.25,1.75,0,73.25,36.25,0.6425,0.75,7.25,2.75,0.4775,91.75,52.25,1,2,18,10.75,8.25,4.25,116.5,37.75,3.75,1.75,104.5,28.25,0.25,6,4.75,0.25,0,128.5,43.75,0.37,0,2.25,0.25,0.04,135.75,49.5,11,720.25,0,0,0,0,0,2,0,2,Orthodox,180.34,182.88,155,37
1502,Neil Seery,Marc Goddard,5/8/2016,"Rotterdam, Zuid-Holland, Netherlands",-1,FALSE,Flyweight,3,0,1,0,6.2,2.8,9.6,5.6,90.4,31.4,10.4,7.4,97,36.8,0.4,7.2,4.8,0.4,0.6,110.4,44.4,0.41,1.8,2.2,1,0.346,140.6,72.4,2,2,9.2,7.2,9.8,6.6,82.8,23.6,11.6,5,90,23.2,0,5,4.8,3.6,0.2,104.2,35.2,0.354,1.2,8.6,3.4,0.492,123.6,52.6,14,830.4,0,0,0,2,0,1,0,3,Orthodox,162.56,162.56,125,36
1503,Dominic Waters,Lukasz Bosacki,5/8/2016,"Rotterdam, Zuid-Holland, Netherlands",-1,FALSE,Welterweight,3,2,0,0,0.5,0.5,1,0.5,24.5,5,1,1,25.5,6,0,0.5,0,2,0,26.5,6.5,0.12,0,2.5,2.5,0.5,36,16,0,2,11.5,9.5,5.5,5.5,26,10.5,20.5,14,36,17,0,4.5,3.5,1.5,0.5,52,30,0.655,1.5,2,1.5,0.75,120,97,4,545.5,0,0,0,0,0,0,0,0,Orthodox,185.42,200.66,170,27
1504,Willie Gates,Rich Mitchell,5/8/2016,"Rotterdam, Zuid-Holland, Netherlands",-1,FALSE,Flyweight,3,1,0,0,8,6,4,2.666666667,38,11,4.666666667,4.333333333,33.66666667,9.666666667,0.666666667,5,2.333333333,0.333333333,0,46.66666667,18,0.42,0.333333333,0,0,0,53.33333333,24.66666667,1,2,12,9.666666667,11.33333333,8.666666667,30.33333333,9.333333333,37.33333333,32.66666667,57.66666667,34.33333333,0,9.333333333,6.666666667,3.333333333,0.333333333,79,50.66666667,0.53,0.666666667,6,1.666666667,0.183333333,122,90,7,573.3333333,0,0,0,0,1,0,0,1,Orthodox,172.72,177.8,125,29
1505,Ovince Saint Preux,Herb Dean,4/23/2016,"Las Vegas, Nevada, USA",-1,TRUE,Light Heavyweight,5,0,1,0,6.777777778,4.333333333,4.333333333,2.444444444,35.77777778,14.11111111,8,5.666666667,38.88888889,16.11111111,0.222222222,2.444444444,1.777777778,0.888888889,0.111111111,48.11111111,22.22222222,0.537777778,0.222222222,1.666666667,0.666666667,0.333333333,58.55555556,31.66666667,4,2,4.222222222,2.555555556,4,2.777777778,21,8.777777778,8,5.888888889,22,10.22222222,0,6.777777778,4.666666667,1.777777778,0,33,17.44444444,0.521111111,0.222222222,4.666666667,1.666666667,0.144444444,54.22222222,36,20,533,0,1,0,1,4,1,0,7,Southpaw,190.5,203.2,205,33
1506,Henry Cejudo,John McCarthy,4/23/2016,"Las Vegas, Nevada, USA",-1,TRUE,Flyweight,5,0,4,0,32,24,28.75,18.75,85.5,32.5,8.5,5.5,86.5,30.25,0.25,4.25,2.5,1.75,0,122.75,56.75,0.46,0.25,6.75,2.25,0.3925,167.5,97.75,4,0,15.5,9.5,11.25,6.75,104.25,23,0.25,0.25,98,19.5,0,2.25,1,0,0,115.75,30,0.265,0,1.25,0,0,128,41,12,900,0,0,1,3,0,0,0,4,Orthodox,162.56,162.56,135,29
1507,Edson Barboza,Herb Dean,4/23/2016,"Las Vegas, Nevada, USA",1,FALSE,Lightweight,3,1,0,0,18,11.07142857,1.571428571,1,91.5,36.71428571,2.285714286,1.428571429,61.64285714,16.14285714,0.571428571,15.71428571,11.92857143,0.142857143,0,95.35714286,39.14285714,0.457857143,0.071428571,0.857142857,0.428571429,0.19,96.42857143,39.85714286,4,4,10.07142857,5.285714286,1.214285714,0.642857143,90.35714286,30.35714286,7,4.214285714,80.21428571,23.64285714,0.142857143,8.285714286,6.285714286,0.428571429,0,98.57142857,35.21428571,0.385,0.357142857,3.071428571,0.5,0.245,107.3571429,42.71428571,32,597.7142857,0,1,1,3,5,0,0,10,Orthodox,180.34,190.5,155,30
1508,Rafael Natal,John McCarthy,4/23/2016,"Las Vegas, Nevada, USA",-1,FALSE,Middleweight,3,0,4,0,10.78571429,6.142857143,7.571428571,5.5,62.57142857,25.21428571,15,10.35714286,60.85714286,23.78571429,0.357142857,13.5,11.14285714,2.714285714,0.071428571,85.14285714,41.07142857,0.483571429,0.5,7.071428571,2.571428571,0.311428571,117.2142857,69.42857143,4,5,7.214285714,4.357142857,5.928571429,3.857142857,58.21428571,18.92857143,7.714285714,5.642857143,55.42857143,16.64285714,0.285714286,9.214285714,7.428571429,1.142857143,0.5,71.85714286,28.42857143,0.401428571,0.142857143,2.357142857,0.5,0.082857143,88.57142857,43.64285714,39,815.8571429,0,0,2,5,1,1,0,9,Orthodox,182.88,193.04,185,33
1509,Andre Fili,Dan Miragliotta,4/23/2016,"Las Vegas, Nevada, USA",-1,FALSE,Featherweight,3,0,1,0,11.6,7.6,7.8,5.2,62.2,22,8.8,4.4,60.4,19.2,0.2,6.8,4.8,0.8,0.4,78.8,31.6,0.356,0.2,4.4,2,0.574,88,38.8,1,2,7.6,4.6,6.4,3.4,45.6,15.4,5.4,3.4,46.8,15.4,0,3,2.2,0.6,0.4,57.4,22.2,0.39,0.8,1.8,0.8,0.22,65.2,29.2,10,491.8,0,0,0,1,2,0,0,3,Orthodox,180.34,187.96,145,25
